ID,Source URL,Title,Topic,Content
1,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,1. Wheelbarrow,"1. Wheelbarrow —This has to be right up there with one of the handiest tools imaginable. A wheelbarrow hauls soil, rocks, sand, lumber, weeds, harvested food, etc. It basically does everything but fold the laundry. I guess you could get away without owning one, but why would you? "
2,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,2. Round-point or spade shovel,"2. Round-point or spade shovel —I have searched far and wide and found that everyone has a different name for every shovel shape. And they don’t all agree. Instead of the official names, I’ll tell you what it looks like and you can name it, okay?  This is the shovel everyone seems to have in his/her garage or rusting outside behind . It has a long handle, and the end of the shovel has sloping sides that gradually come to a point. These are handy for digging, planting trees and shrubs, cutting through sod, prying up rocks, dividing perennials, and digging trenches. This guy gets extra points if its metal shoulders are bent to create a foot rest for digging. "
3,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,3. Square shovel,"3. Square shovel —Like the round-point shovel, I give up on its “real” name—I promise, there are several. This is a long-handled shovel whose business end is square metal. It’s perfect for scooping things like soil, gravel, rocks, or sand and getting them from one place to another. It is also handy for mixing cement. "
4,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,4. Long-handled hoe,"4. Long-handled hoe —This tool has to be one of my very favorite tools hands-down. Weeds tend to take over quickly, but if you just run a hoe in between the plants one or two times a week, it makes quick work of the sneaky little so-and-sos. Hoes show up differently, so the metal at the end may come in a variety of shapes.  There’s what I call the “original” hoe—the one that has a solid piece of flat rectangular metal on the end of it. This works just fine. But my personal favorite is the one that I like to call . It’s made with a sharp metal frame creating the rectangle. (I’ve heard people call it the “stirrup hoe.”) With this one, the thin metal lies flat into the soil, slides underneath the unsuspecting weed, and slices it off at the soil line. "
5,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,5. Handheld hoe,"5. Handheld hoe —This little guy is designed like the original hoe as well as the hoe of death, but it has a short handle so you can get up close and personal with your plants’ weedy enemies. What’s extra handy is that like using dental floss, you can get to those hard-to-reach places without disturbing the rest of the crop. "
6,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,6. Garden fork,"6. Garden fork —Forks can help cut into heavy soil and sometimes work much easier than a solid-bladed tool (say, a shovel). Garden forks loosen the soil, not lift it. They are great for mixing materials into the soil, turning compost piles, and harvesting root crops like carrots and potatoes. They’re also perfect for cleaning the bedding out of chicken houses and coops. Garden forks have a multitude of names, and from what I can tell, this is mostly due to differences in the fork, usually in the number or the weight.  English cultivating forks have thin, square tines, while the traditional fork tines are broad and flat. Both work well, but some people prefer the English version for tilling and aerating the soil. There are new types of forks being marketed everyday, so I honestly can’t keep up. I have one I use for everything. "
7,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,7. Handheld cultivator,7. Handheld cultivator —This tool works (and looks) like a garden fork but for little spaces. 
8,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,8. Garden rake,"8. Garden rake —There are (for the most part) two kinds of rakes. One is used to rake leaves, which I guess is handy but not a necessity. The one that I consider a must-have is the garden rake. It’s the one people leave lying around so that when you step on it the handle comes up and smacks you in the face.  If you happen to be one of those uber-cool people who have never experienced this phenomenon, the garden rake is the one with the long handle and short, curved metal tines on the end. It is great for spreading mulch, thinning your seedlings, leveling ground, creating raised beds, erasing footprints, and gathering debris. Oh, and I rake my leaves with it too. "
9,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,9. Pruning shears or pruners,"9. Pruning shears or pruners —These are those handheld little jobbies you keep in your purse or in the glove box because you’ll need a pair on you at all times. Pruning shears are available in two styles. There’s the bypass version, which cuts like a pair of scissors. Then there’s the straight-blade type, where a blade closes down onto a plate. My favorite is the bypass pruners because the cut feels cleaner. But to each their own. "
10,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,10. Knee cushion,"10. Knee cushion —This may not be something you need, but I sure as heck do. From a kneeling position, I need a 30-minute warning to get back up. "
11,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,11. Lopping shears,"11. Lopping shears —You either seriously need these or you don’t need them at all. Lopping shears work like pruning shears whose trainer had slipped them a couple of steroids. They’re mainly for cutting big branches, dense shrubs, and the like. So if you’re just growing lettuce and some root crops, fugheddaboudit. But if you happen to be into fruit trees, buy two.  Last and quite possibly least:     "
13,https://www.finegardening.com/article/basic-gardening-tools-101,Basic Gardening Tools 101 - FineGardening,12. Garden gloves,"—Well, this is kind of obvious, right? If you want to protect your delicate hands from eventually looking like witches feet, may I gently guide you in a gloved direction? Gloves also protect against undesirable pathogens in the soil and offer protection from cuts and scrapes.  That said, I’m telling tell you right now that I don’t like—nor do I wear—gardening gloves. Nothing comes between me and the dirt, baby. That said, most normal gardeners appreciate what gloves can do for their hands and that they help you save money that might otherwise be spent on fancy lotions.  If I had to wear gloves (like if a doctor said I would die a horrible death if I didn’t), I would choose those that fit like a second layer of skin. They come in colors that make your girlish heart sing, and your hands can at least feel something . Kinda."
1,https://www.gardensillustrated.com/features/tools-experts-must-have,The garden tools the experts use - Gardens Illustrated,Folding pruning saw,"Folding pruning saw  The tool I couldn’t be without is my folding pruning saw by Silky. I was introduced to them when I was training at RHS Garden Wisley as a student some 14 years ago and immediately bought one, and now could never be working in the garden without it. There is nothing more satisfying than making an accurate, clean, good-quality pruning cut , and I find this is the answer. The blade tends to last me around a year and then it can easily be replaced. I use them for all manner of pruning, such as shrub pruning , dead-wooding and lifting the lower branches of trees . Their shape and style means you can get into the smallest of places, while still doing a great job, and the blade can lock into a second position that almost bends back on itself for the most awkward of spaces. To date, I’ve never bent or snapped the blade which can happen with some pruning saws – a sure sign of a quality pruning saw.  Here's our pick of the best pruning saws  Derry Watkins "
2,https://www.gardensillustrated.com/features/tools-experts-must-have,The garden tools the experts use - Gardens Illustrated,Carbon blade scissors,"Carbon blade scissors  I have a gardening bumbag with labels, pens, string and most importantly my florist’s scissors . I don’t go out for even five minutes in the garden without it. I can’t bear to waste time looking for a tool, so I do almost all my gardening with these carbon steel florist’s scissors. They are strong and sharp (carbon steel takes a better edge than stainless steel, and can be sharpened up again). With the points together my scissors root out dandelions , tease out seedlings to be replanted, or extricate weeds from between gnarled roots. Holding them flat to the ground and scuffling them back and forth, you can use them as a mini- hoe . They will cut almost anything a pair of secateurs would, up to about 5mm. For anything bigger I have to get the loppers , so it often doesn’t get done. Before I organised the bumbag, I used to have them in my hip pocket (your leg won’t bend far enough back for them to poke you). The important thing is having them to hand.  Looking for loppers?   I first saw it in use many years ago on my first visit to Japan, being used to cut rice crops in the paddy fields  Roy Lancaster  Fergus Garrett "
